country_id	country_name	country_name_url_encoded	city_id	city_name	city_name_url_encoded	city_url_full	city_url	country_url_full	country_url	city_name_to_lower	country_name_to_lower	country_code	name	asciiname	admin1_code	admin2_code	population	lat	lng
3	Albania	Albania	27	Lac	Lac	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Lac	city_result.jsp?country=Albania&city=Lac	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	lac	albania	AL	Laç	Lac	48	35	24825	41.63556	19.71306
3	Albania	Albania	28	Lezhe	Lezhe	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Lezhe	city_result.jsp?country=Albania&city=Lezhe	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	lezhe	albania	AL	Lezhë	Lezhe	48		18695	41.78361	19.64361
3	Albania	Albania	29	Lushnje	Lushnje	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Lushnje	city_result.jsp?country=Albania&city=Lushnje	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	lushnje	albania	AL	Lushnjë	Lushnje	44	14	41469	40.94194	19.705
3	Albania	Albania	30	Permet	Permet	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Permet	city_result.jsp?country=Albania&city=Permet	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	permet	albania	AL	Përmet	Permet	45	17	10686	40.23361	20.35167
3	Albania	Albania	31	Peshkopi	Peshkopi	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Peshkopi	city_result.jsp?country=Albania&city=Peshkopi	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	peshkopi	albania	AL	Peshkopi	Peshkopi	41		14848	41.685	20.42889
3	Albania	Albania	32	Sarande	Sarande	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Sarande	city_result.jsp?country=Albania&city=Sarande	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	sarande	albania	AL	Sarandë	Sarande	51	20	15147	39.87534	20.00477
3	Albania	Albania	33	Shkoder	Shkoder	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Shkoder	city_result.jsp?country=Albania&city=Shkoder	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	shkoder	albania	AL	Shkodër	Shkoder	49	21	88245	42.06828	19.51258
3	Albania	Albania	34	Tepelene	Tepelene	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Tepelene	city_result.jsp?country=Albania&city=Tepelene	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	tepelene	albania	AL	Tepelenë	Tepelene	45	23	11955	40.29583	20.01917
3	Albania	Albania	35	Tirana	Tirana	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Tirana	city_result.jsp?country=Albania&city=Tirana	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	tirana	albania	AL	Tirana	Tirana	50	28	374801	41.3275	19.81889
3	Albania	Albania	36	Tropoje	Tropoje	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Tropoje	city_result.jsp?country=Albania&city=Tropoje	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	tropoje	albania	AL	NA	NA	NA	NA	NA	NA	NA
3	Albania	Albania	37	Vlore	Vlore	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Vlore	city_result.jsp?country=Albania&city=Vlore	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania	vlore	albania	AL	Vlorë	Vlore	51		89546	40.4686	19.48318
4	Alderney	Alderney	38	St Anne	St%20Anne	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Alderney&city=St%20Anne	city_result.jsp?country=Alderney&city=St%20Anne	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Alderney	country_result.jsp?country=Alderney	st anne	alderney	NA	NA	NA	NA	NA	NA	NA	NA
5	Algeria	Algeria	39	Abelessa	Abelessa	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Abelessa	city_result.jsp?country=Algeria&city=Abelessa	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	abelessa	algeria	DZ	NA	NA	NA	NA	NA	NA	NA
5	Algeria	Algeria	40	Algiers	Algiers	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Algiers	city_result.jsp?country=Algeria&city=Algiers	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	algiers	algeria	DZ	Algiers	Algiers	01		1977663	36.73225	3.08746
5	Algeria	Algeria	41	Annaba	Annaba	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Annaba	city_result.jsp?country=Algeria&city=Annaba	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	annaba	algeria	DZ	Annaba	Annaba	37		206570	36.9	7.76667
5	Algeria	Algeria	42	Batna	Batna	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Batna	city_result.jsp?country=Algeria&city=Batna	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	batna	algeria	DZ	Batna	Batna	03		280798	35.55597	6.17414
5	Algeria	Algeria	43	Bechar	Bechar	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Bechar	city_result.jsp?country=Algeria&city=Bechar	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	bechar	algeria	DZ	Béchar	Bechar	38		143382	31.61667	-2.21667
5	Algeria	Algeria	44	Bejaia	Bejaia	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Bejaia	city_result.jsp?country=Algeria&city=Bejaia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	bejaia	algeria	DZ	Bejaia	Bejaia	18		164103	36.75587	5.08433
5	Algeria	Algeria	45	Biskra	Biskra	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Biskra	city_result.jsp?country=Algeria&city=Biskra	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	biskra	algeria	DZ	Biskra	Biskra	19		307987	34.85038	5.72805
5	Algeria	Algeria	46	Blida	Blida	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Blida	city_result.jsp?country=Algeria&city=Blida	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	blida	algeria	DZ	Blida	Blida	20		182447	36.47004	2.8277
5	Algeria	Algeria	47	Bordj Bou Arreridj	Bordj%20Bou%20Arreridj	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Bordj%20Bou%20Arreridj	city_result.jsp?country=Algeria&city=Bordj%20Bou%20Arreridj	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	bordj bou arreridj	algeria	DZ	Bordj Bou Arreridj	Bordj Bou Arreridj	39		168346	36.07321	4.76108
5	Algeria	Algeria	48	Bouira	Bouira	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Bouira	city_result.jsp?country=Algeria&city=Bouira	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	bouira	algeria	DZ	Bouira	Bouira	21		52500	36.37489	3.902
5	Algeria	Algeria	49	Boumerdes	Boumerdes	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Boumerdes	city_result.jsp?country=Algeria&city=Boumerdes	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	boumerdes	algeria	DZ	NA	NA	NA	NA	NA	NA	NA
5	Algeria	Algeria	50	Collo	Collo	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Collo	city_result.jsp?country=Algeria&city=Collo	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	collo	algeria	DZ	NA	NA	NA	NA	NA	NA	NA
5	Algeria	Algeria	51	Constantine	Constantine	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Constantine	city_result.jsp?country=Algeria&city=Constantine	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	constantine	algeria	DZ	Constantine	Constantine	04		450097	36.365	6.61472
5	Algeria	Algeria	52	Djelfa	Djelfa	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Djelfa	city_result.jsp?country=Algeria&city=Djelfa	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	djelfa	algeria	DZ	Djelfa	Djelfa	22		154265	34.67279	3.263
5	Algeria	Algeria	53	Djemila	Djemila	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Djemila	city_result.jsp?country=Algeria&city=Djemila	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	djemila	algeria	DZ	NA	NA	NA	NA	NA	NA	NA
5	Algeria	Algeria	54	El Bayadh	El%20Bayadh	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=El%20Bayadh	city_result.jsp?country=Algeria&city=El%20Bayadh	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	el bayadh	algeria	DZ	El Bayadh	El Bayadh	42		64632	33.68318	1.01927
5	Algeria	Algeria	55	Ghardaia	Ghardaia	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Ghardaia	city_result.jsp?country=Algeria&city=Ghardaia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	ghardaia	algeria	DZ	Ghardaia	Ghardaia	45		93423	32.49094	3.67347
5	Algeria	Algeria	56	Jijel	Jijel	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Jijel	city_result.jsp?country=Algeria&city=Jijel	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	jijel	algeria	DZ	Jijel	Jijel	24		148000	36.821	5.76352
