country_id	city_name	city_name_url_encoded	city_url_full	city_url	city_id	country_name	country_name_url_encoded	country_url_full	country_url_part
3	Peshkopi	Peshkopi	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Peshkopi	city_result.jsp?country=Albania&city=Peshkopi	33	Albania	Albania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania
3	Sarande	Sarande	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Sarande	city_result.jsp?country=Albania&city=Sarande	34	Albania	Albania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania
3	Shkoder	Shkoder	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Shkoder	city_result.jsp?country=Albania&city=Shkoder	35	Albania	Albania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania
3	Tepelene	Tepelene	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Tepelene	city_result.jsp?country=Albania&city=Tepelene	36	Albania	Albania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania
3	Tirana	Tirana	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Tirana	city_result.jsp?country=Albania&city=Tirana	37	Albania	Albania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania
3	Tropoje	Tropoje	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Tropoje	city_result.jsp?country=Albania&city=Tropoje	38	Albania	Albania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania
3	Vlore	Vlore	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Albania&city=Vlore	city_result.jsp?country=Albania&city=Vlore	39	Albania	Albania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Albania	country_result.jsp?country=Albania
4	St Anne	St%20Anne	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Alderney&city=St%20Anne	city_result.jsp?country=Alderney&city=St%20Anne	40	Alderney	Alderney	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Alderney	country_result.jsp?country=Alderney
5	Abelessa	Abelessa	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Abelessa	city_result.jsp?country=Algeria&city=Abelessa	41	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Algiers	Algiers	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Algiers	city_result.jsp?country=Algeria&city=Algiers	42	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
