country_id	city_id	country_name	city_name	city_name_url_encoded	country_name_url_encoded	city_url_full	city_url	country_url_full	country_url_part
71	1704	France	Antibes	Antibes	Antibes	https://www.numbeo.com/cost-of-living/city_result.jsp?country=France&city=Antibes	city_result.jsp?country=France&city=Antibes	https://www.numbeo.com/cost-of-living/country_result.jsp?country=France	country_result.jsp?country=France
56	1454	Denmark	Odense	Odense	Odense	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Denmark&city=Odense	city_result.jsp?country=Denmark&city=Odense	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Denmark	country_result.jsp?country=Denmark
202	5309	Sweden	Uppsala	Uppsala	Uppsala	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Sweden&city=Uppsala	city_result.jsp?country=Sweden&city=Uppsala	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sweden	country_result.jsp?country=Sweden
102	2718	Israel	Haifa	Haifa	Haifa	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Israel&city=Haifa	city_result.jsp?country=Israel&city=Haifa	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Israel	country_result.jsp?country=Israel
149	3845	New Zealand	Auckland	Auckland	Auckland	https://www.numbeo.com/cost-of-living/city_result.jsp?country=New%20Zealand&city=Auckland	city_result.jsp?country=New%20Zealand&city=Auckland	https://www.numbeo.com/cost-of-living/country_result.jsp?country=New%20Zealand	country_result.jsp?country=New%20Zealand
14	179	Australia	Brisbane	Brisbane	Brisbane	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Australia&city=Brisbane	city_result.jsp?country=Australia&city=Brisbane	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
14	262	Australia	Perth	Perth	Perth	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Australia&city=Perth	city_result.jsp?country=Australia&city=Perth	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
14	190	Australia	Canberra	Canberra	Canberra	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Australia&city=Canberra	city_result.jsp?country=Australia&city=Canberra	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
222	7372	United States	Washington, DC	Washington%2C%20DC	Washington%2C%20DC	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Washington%2C%20DC	city_result.jsp?country=United%20States&city=Washington%2C%20DC	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
51	1282	Croatia	Dubrovnik	Dubrovnik	Dubrovnik	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Croatia&city=Dubrovnik	city_result.jsp?country=Croatia&city=Dubrovnik	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Croatia	country_result.jsp?country=Croatia
