country_id	country_name	country_name_url_encoded	country_url_full	country_url_part
86	Guatemala	Guatemala	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Guatemala	country_result.jsp?country=Guatemala
87	Guernsey	Guernsey	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Guernsey	country_result.jsp?country=Guernsey
88	Guinea	Guinea	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Guinea	country_result.jsp?country=Guinea
89	Guinea-Bissau	Guinea-Bissau	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Guinea-Bissau	country_result.jsp?country=Guinea-Bissau
90	Guyana	Guyana	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Guyana	country_result.jsp?country=Guyana
91	Haiti	Haiti	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Haiti	country_result.jsp?country=Haiti
92	Honduras	Honduras	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Honduras	country_result.jsp?country=Honduras
93	Hong Kong	Hong%20Kong	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Hong%20Kong	country_result.jsp?country=Hong%20Kong
94	Hungary	Hungary	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Hungary	country_result.jsp?country=Hungary
95	Iceland	Iceland	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Iceland	country_result.jsp?country=Iceland
96	India	India	https://www.numbeo.com/cost-of-living/country_result.jsp?country=India	country_result.jsp?country=India
97	Indonesia	Indonesia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Indonesia	country_result.jsp?country=Indonesia
98	Iran	Iran	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Iran	country_result.jsp?country=Iran
99	Iraq	Iraq	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Iraq	country_result.jsp?country=Iraq
100	Ireland	Ireland	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Ireland	country_result.jsp?country=Ireland
101	Isle Of Man	Isle%20Of%20Man	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Isle%20Of%20Man	country_result.jsp?country=Isle%20Of%20Man
102	Israel	Israel	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Israel	country_result.jsp?country=Israel
103	Italy	Italy	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Italy	country_result.jsp?country=Italy
